Case Id,Event Id,Start Timestamp,End Timesstamp,Event Name,Event Type,Subjec Group,Subject Id,Object Group,Object Id
4772CP,5090,2017-12-17 23:24:18,2017-12-17 23:24:18,Product Delivered,process activity,clerk,1c,product,4772p
1605CP,5091,2017-12-17 23:24:18,2017-12-17 23:25:18,check if the product was shaked,process activity,clerk,1c,product,1605p
7954CP,5092,2017-12-17 23:25:18,2017-12-17 23:46:18,Request product,process activity,clerk,1c,product,7954p
7954CP,5105,2017-12-17 23:47:18,2017-12-17 23:47:18,Assgin robot,process activity,robot,21r,shelf,309s
1605CP,5107,2017-12-17 23:49:18,2017-12-17 23:49:18,Product Delivered,process activity,clerk,1c,product,1605p
643CP,5109,2017-12-17 23:50:18,2017-12-17 23:50:18,check if the product was shaked,process activity,clerk,1c,product,643p
643CP,5118,2017-12-17 23:58:18,2017-12-17 23:58:18,Product Delivered,process activity,clerk,1c,product,643p
7586CP,5119,2017-12-17 23:59:18,2017-12-17 23:59:18,check if the product was shaked,process activity,clerk,1c,product,7586p
4722CP,5120,2017-12-17 23:59:18,2017-12-18 00:02:18,Request product,process activity,clerk,1c,product,4722p
4722CP,5123,2017-12-18 00:02:18,2017-12-18 00:02:18,Assgin robot,process activity,robot,84r,shelf,264s
9131CP,5108,2017-12-17 23:50:18,2017-12-18 00:03:18,Request product,process activity,clerk,1c,product,9131p
9131CP,5125,2017-12-18 00:03:18,2017-12-18 00:03:18,Assgin robot,process activity,robot,0r,shelf,23s
7586CP,5130,2017-12-18 00:09:18,2017-12-18 00:09:18,Product Delivered,process activity,clerk,1c,product,7586p
3062CP,5133,2017-12-18 00:10:18,2017-12-18 00:10:18,check if the product was shaked,process activity,clerk,1c,product,3062p
7778CP,5132,2017-12-18 00:09:18,2017-12-18 00:15:18,Request product,process activity,clerk,1c,product,7778p
7778CP,5137,2017-12-18 00:15:18,2017-12-18 00:15:18,Assgin robot,process activity,robot,80r,shelf,296s
3062CP,5148,2017-12-18 00:25:18,2017-12-18 00:25:18,Product Delivered,process activity,clerk,1c,product,3062p
3084CP,5151,2017-12-18 00:26:18,2017-12-18 00:26:18,check if the product was shaked,process activity,clerk,1c,product,3084p
1219CP,5153,2017-12-18 00:27:18,2017-12-18 00:43:18,Request product,process activity,clerk,1c,product,1219p
1219CP,5167,2017-12-18 00:44:18,2017-12-18 00:44:18,Assgin robot,process activity,robot,60r,shelf,352s
3084CP,5169,2017-12-18 00:47:18,2017-12-18 00:48:18,Product Delivered,process activity,clerk,1c,product,3084p
5072CP,5171,2017-12-18 00:48:18,2017-12-18 00:48:18,check if the product was shaked,process activity,clerk,1c,product,5072p
4199CP,5170,2017-12-18 00:48:18,2017-12-18 00:51:18,Request product,process activity,clerk,1c,product,4199p
4199CP,5173,2017-12-18 00:52:18,2017-12-18 00:52:18,Assgin robot,process activity,robot,77r,shelf,163s
5072CP,5182,2017-12-18 01:05:18,2017-12-18 01:05:18,Product Delivered,process activity,clerk,1c,product,5072p
858CP,5183,2017-12-18 01:05:18,2017-12-18 01:05:18,check if the product was shaked,process activity,clerk,1c,product,858p
5218CP,5186,2017-12-18 01:06:18,2017-12-18 01:22:18,Request product,process activity,clerk,1c,product,5218p
5218CP,5194,2017-12-18 01:22:18,2017-12-18 01:22:18,Assgin robot,process activity,robot,49r,shelf,235s
858CP,5199,2017-12-18 01:27:18,2017-12-18 01:27:18,Product Delivered,process activity,clerk,1c,product,858p
9730CP,5200,2017-12-18 01:27:18,2017-12-18 01:27:18,check if the product was shaked,process activity,clerk,1c,product,9730p
