Case Id,Event Id,Start Timestamp,End Timesstamp,Event Name,Event Type,Subjec Group,Subject Id,Object Group,Object Id
9867RP,1755,2017-12-15 14:58:18,2017-12-15 15:09:18,reduce speed,process activity,robot,93r,shelf,50s
9867RP,1698,2017-12-15 14:20:18,2017-12-15 15:09:18,move shelf to dock,process activity,robot,93r,shelf,50s
6620RP,1756,2017-12-15 14:58:18,2017-12-15 15:12:18,putdown current shelf,process activity,robot,97r,shelf,-1s
8052RP,1775,2017-12-15 15:08:18,2017-12-15 15:12:18,go to approriate shelf,process activity,robot,34r,shelf,424s
482RP,1777,2017-12-15 15:09:18,2017-12-15 15:14:18,go to approriate shelf,process activity,robot,55r,shelf,3s
6034RP,1771,2017-12-15 15:06:18,2017-12-15 15:15:18,putdown current shelf,process activity,robot,74r,shelf,-1s
2154RP,1782,2017-12-15 15:11:18,2017-12-15 15:18:18,putdown current shelf,process activity,robot,79r,shelf,-1s
2533RP,1763,2017-12-15 15:02:18,2017-12-15 15:20:18,reduce speed,process activity,robot,1r,shelf,386s
2533RP,1735,2017-12-15 14:48:18,2017-12-15 15:20:18,move shelf to dock,process activity,robot,1r,shelf,386s
7806RP,1787,2017-12-15 15:15:18,2017-12-15 15:20:18,putdown current shelf,process activity,robot,85r,shelf,-1s
5786RP,1776,2017-12-15 15:08:18,2017-12-15 15:22:18,reduce speed,process activity,robot,5r,shelf,116s
5786RP,1746,2017-12-15 14:54:18,2017-12-15 15:22:18,move shelf to dock,process activity,robot,5r,shelf,116s
2952RP,1781,2017-12-15 15:11:18,2017-12-15 15:25:18,reduce speed,process activity,robot,56r,shelf,142s
2952RP,1754,2017-12-15 14:57:18,2017-12-15 15:25:18,move shelf to dock,process activity,robot,56r,shelf,142s
9598RP,1796,2017-12-15 15:19:18,2017-12-15 15:26:18,reduce speed,process activity,robot,66r,shelf,281s
9598RP,1764,2017-12-15 15:03:18,2017-12-15 15:26:18,move shelf to dock,process activity,robot,66r,shelf,281s
8663RP,1774,2017-12-15 15:08:18,2017-12-15 15:27:18,go to approriate shelf,process activity,robot,52r,shelf,371s
1011RP,1797,2017-12-15 15:20:18,2017-12-15 15:33:18,putdown current shelf,process activity,robot,63r,shelf,-1s
6620RP,1784,2017-12-15 15:12:18,2017-12-15 15:33:18,go to approriate shelf,process activity,robot,97r,shelf,308s
7806RP,1798,2017-12-15 15:20:18,2017-12-15 15:35:18,go to approriate shelf,process activity,robot,85r,shelf,350s
482RP,1813,2017-12-15 15:29:18,2017-12-15 15:36:18,reduce speed,process activity,robot,55r,shelf,3s
2154RP,1795,2017-12-15 15:19:18,2017-12-15 15:37:18,go to approriate shelf,process activity,robot,79r,shelf,204s
6034RP,1799,2017-12-15 15:21:18,2017-12-15 15:41:18,go to approriate shelf,process activity,robot,74r,shelf,238s
1178RP,1792,2017-12-15 15:17:18,2017-12-15 15:43:18,reduce speed,process activity,robot,59r,shelf,489s
1178RP,1773,2017-12-15 15:07:18,2017-12-15 15:43:18,move shelf to dock,process activity,robot,59r,shelf,489s
7607RP,1814,2017-12-15 15:29:18,2017-12-15 15:45:18,move shelf from dock,process activity,robot,73r,shelf,160s
6620RP,1826,2017-12-15 15:35:18,2017-12-15 15:46:18,move shelf to dock,process activity,robot,97r,shelf,308s
1848RP,1807,2017-12-15 15:25:18,2017-12-15 15:48:18,reduce speed,process activity,robot,30r,shelf,41s
1848RP,1778,2017-12-15 15:09:18,2017-12-15 15:48:18,move shelf to dock,process activity,robot,30r,shelf,41s
2530RP,1806,2017-12-15 15:24:18,2017-12-15 15:49:18,reduce speed,process activity,robot,98r,shelf,227s
2530RP,1783,2017-12-15 15:12:18,2017-12-15 15:49:18,move shelf to dock,process activity,robot,98r,shelf,227s
482RP,1793,2017-12-15 15:18:18,2017-12-15 15:50:18,move shelf to dock,process activity,robot,55r,shelf,3s
5293RP,1842,2017-12-15 15:48:18,2017-12-15 15:52:18,move shelf from dock,process activity,robot,19r,shelf,483s
2154RP,1844,2017-12-15 15:48:18,2017-12-15 15:52:18,move shelf to dock,process activity,robot,79r,shelf,204s
3480RP,1834,2017-12-15 15:43:18,2017-12-15 15:53:18,move shelf from dock,process activity,robot,28r,shelf,357s
8663RP,1840,2017-12-15 15:46:18,2017-12-15 15:54:18,reduce speed,process activity,robot,52r,shelf,371s
8663RP,1820,2017-12-15 15:32:18,2017-12-15 15:54:18,move shelf to dock,process activity,robot,52r,shelf,371s
