Event Id,Chip Name,Timestamp,Item Id
10562SR,shelfDelivered,2017-12-22 07:12:18,82s
10574SR,shelfMoved,2017-12-22 07:22:18,70s
10575SR,shelfMoved,2017-12-22 07:24:18,444s
10578SR,shelfDelivered,2017-12-22 07:27:18,388s
10590SR,shelfDelivered,2017-12-22 07:40:18,70s
10593SR,shelfDelivered,2017-12-22 07:41:18,444s
10615SR,shelfMoved,2017-12-22 08:09:18,218s
10628SR,shelfMoved,2017-12-22 08:22:18,91s
10633SR,shelfMoved,2017-12-22 08:29:18,351s
10637SR,shelfMoved,2017-12-22 08:32:18,443s
10638SR,shelfDelivered,2017-12-22 08:32:18,218s
10650SR,shelfDelivered,2017-12-22 08:39:18,91s
10660SR,shelfMoved,2017-12-22 08:46:18,402s
10663SR,shelfDelivered,2017-12-22 08:48:18,443s
10666SR,shelfDelivered,2017-12-22 08:51:18,351s
10669SR,shelfMoved,2017-12-22 08:53:18,167s
10683SR,shelfDelivered,2017-12-22 09:07:18,402s
10691SR,shelfMoved,2017-12-22 09:13:18,266s
10694SR,shelfDelivered,2017-12-22 09:16:18,167s
10707SR,shelfMoved,2017-12-22 09:33:18,484s
10713SR,shelfDelivered,2017-12-22 09:39:18,484s
10715SR,shelfDelivered,2017-12-22 09:40:18,266s
10734SR,shelfMoved,2017-12-22 09:54:18,348s
10737SR,shelfMoved,2017-12-22 10:02:18,424s
10748SR,shelfDelivered,2017-12-22 10:17:18,424s
10749SR,shelfDelivered,2017-12-22 10:19:18,348s
10763SR,shelfMoved,2017-12-22 10:32:18,122s
10766SR,shelfDelivered,2017-12-22 10:36:18,122s
10770SR,shelfMoved,2017-12-22 10:41:18,365s
10795SR,shelfDelivered,2017-12-22 11:07:18,365s
10796SR,shelfMoved,2017-12-22 11:07:18,105s
10799SR,shelfMoved,2017-12-22 11:10:18,480s
10814SR,shelfMoved,2017-12-22 11:21:18,328s
10820SR,shelfDelivered,2017-12-22 11:27:18,105s
10827SR,shelfDelivered,2017-12-22 11:31:18,480s
10829SR,shelfDelivered,2017-12-22 11:32:18,328s
10840SR,shelfMoved,2017-12-22 11:44:18,234s
10851SR,shelfMoved,2017-12-22 11:58:18,468s
10858SR,shelfDelivered,2017-12-22 12:03:18,468s
10859SR,shelfDelivered,2017-12-22 12:04:18,234s
10869SR,shelfMoved,2017-12-22 12:15:18,337s
10886SR,shelfDelivered,2017-12-22 12:34:18,337s
10889SR,shelfMoved,2017-12-22 12:36:18,491s
10894SR,shelfMoved,2017-12-22 12:43:18,157s
10900SR,shelfDelivered,2017-12-22 12:48:18,157s
10906SR,shelfMoved,2017-12-22 12:55:18,42s
10913SR,shelfDelivered,2017-12-22 13:03:18,491s
10926SR,shelfDelivered,2017-12-22 13:17:18,42s
10942SR,shelfMoved,2017-12-22 13:35:18,208s
10950SR,shelfMoved,2017-12-22 13:45:18,320s
10958SR,shelfDelivered,2017-12-22 13:49:18,320s
10959SR,shelfMoved,2017-12-22 13:49:18,270s
10966SR,shelfDelivered,2017-12-22 13:55:18,208s
10975SR,shelfMoved,2017-12-22 14:03:18,294s
10988SR,shelfMoved,2017-12-22 14:14:18,79s
10992SR,shelfDelivered,2017-12-22 14:18:18,270s
10997SR,shelfMoved,2017-12-22 14:21:18,485s
11001SR,shelfMoved,2017-12-22 14:23:18,153s
11008SR,shelfDelivered,2017-12-22 14:28:18,294s
11014SR,shelfDelivered,2017-12-22 14:33:18,79s
11015SR,shelfDelivered,2017-12-22 14:33:18,153s
11018SR,shelfDelivered,2017-12-22 14:35:18,485s
11026SR,shelfMoved,2017-12-22 14:41:18,57s
11040SR,shelfDelivered,2017-12-22 14:53:18,57s
11043SR,shelfMoved,2017-12-22 14:57:18,496s
