Event Id,Chip Name,Timestamp,Item Id
5282RR,disposeShelf,2017-12-18 02:59:18,15r
5303RR,disposeShelf,2017-12-18 03:22:18,44r
5315RR,disposeShelf,2017-12-18 03:31:18,37r
5322RR,disposeShelf,2017-12-18 03:35:18,85r
5351RR,disposeShelf,2017-12-18 04:06:18,72r
5360RR,disposeShelf,2017-12-18 04:20:18,68r
5379RR,disposeShelf,2017-12-18 04:36:18,95r
5387RR,disposeShelf,2017-12-18 04:46:18,62r
5420RR,disposeShelf,2017-12-18 05:37:18,41r
5434RR,disposeShelf,2017-12-18 06:00:18,50r
5448RR,disposeShelf,2017-12-18 06:24:18,27r
5464RR,disposeShelf,2017-12-18 06:41:18,33r
5479RR,disposeShelf,2017-12-18 07:06:18,16r
5493RR,disposeShelf,2017-12-18 07:36:18,28r
5525RR,disposeShelf,2017-12-18 08:08:18,73r
5527RR,disposeShelf,2017-12-18 08:11:18,19r
5547RR,disposeShelf,2017-12-18 08:28:18,7r
5557RR,disposeShelf,2017-12-18 08:35:18,94r
5572RR,disposeShelf,2017-12-18 08:55:18,46r
5589RR,disposeShelf,2017-12-18 09:17:18,64r
5629RR,disposeShelf,2017-12-18 09:50:18,88r
5644RR,disposeShelf,2017-12-18 10:03:18,36r
5647RR,disposeShelf,2017-12-18 10:06:18,6r
5649RR,disposeShelf,2017-12-18 10:08:18,58r
5675RR,disposeShelf,2017-12-18 10:36:18,91r
5697RR,disposeShelf,2017-12-18 11:03:18,78r
5723RR,disposeShelf,2017-12-18 11:27:18,82r
5731RR,disposeShelf,2017-12-18 11:34:18,4r
5746RR,disposeShelf,2017-12-18 11:50:18,48r
5776RR,disposeShelf,2017-12-18 12:27:18,31r
5795RR,disposeShelf,2017-12-18 12:44:18,69r
5803RR,disposeShelf,2017-12-18 12:56:18,3r
5815RR,disposeShelf,2017-12-18 13:10:18,75r
5828RR,disposeShelf,2017-12-18 13:25:18,54r
5838RR,disposeShelf,2017-12-18 13:37:18,67r
5848RR,disposeShelf,2017-12-18 13:55:18,71r
5888RR,disposeShelf,2017-12-18 14:42:18,10r
5900RR,disposeShelf,2017-12-18 14:56:18,11r
5903RR,disposeShelf,2017-12-18 14:59:18,35r
5908RR,disposeShelf,2017-12-18 15:02:18,42r
5940RR,disposeShelf,2017-12-18 15:57:18,65r
5956RR,disposeShelf,2017-12-18 16:25:18,57r
5980RR,disposeShelf,2017-12-18 16:58:18,97r
5995RR,disposeShelf,2017-12-18 17:19:18,66r
6033RR,disposeShelf,2017-12-18 18:02:18,52r
6042RR,disposeShelf,2017-12-18 18:09:18,98r
6063RR,disposeShelf,2017-12-18 18:31:18,55r
6072RR,disposeShelf,2017-12-18 18:41:18,45r
6074RR,disposeShelf,2017-12-18 18:43:18,34r
6092RR,disposeShelf,2017-12-18 18:56:18,22r
6110RR,disposeShelf,2017-12-18 19:18:18,9r
6116RR,disposeShelf,2017-12-18 19:30:18,35r
6143RR,disposeShelf,2017-12-18 20:15:18,51r
6165RR,disposeShelf,2017-12-18 20:39:18,53r
6197RR,disposeShelf,2017-12-18 21:09:18,99r
6200RR,disposeShelf,2017-12-18 21:13:18,59r
6204RR,disposeShelf,2017-12-18 21:15:18,38r
6216RR,disposeShelf,2017-12-18 21:26:18,4r
6230RR,disposeShelf,2017-12-18 21:34:18,6r
6246RR,disposeShelf,2017-12-18 21:51:18,13r
6258RR,disposeShelf,2017-12-18 21:59:18,70r
6274RR,disposeShelf,2017-12-18 22:14:18,29r
6334RR,disposeShelf,2017-12-18 23:04:18,12r
6340RR,disposeShelf,2017-12-18 23:09:18,61r
6346RR,disposeShelf,2017-12-18 23:12:18,25r
6350RR,disposeShelf,2017-12-18 23:15:18,5r
6368RR,disposeShelf,2017-12-18 23:27:18,47r
6372RR,disposeShelf,2017-12-18 23:29:18,30r
6378RR,disposeShelf,2017-12-18 23:34:18,23r
6397RR,disposeShelf,2017-12-18 23:49:18,56r
6413RR,disposeShelf,2017-12-19 00:10:18,89r
6424RR,disposeShelf,2017-12-19 00:19:18,37r
6445RR,disposeShelf,2017-12-19 00:36:18,93r
6456RR,disposeShelf,2017-12-19 00:49:18,32r
6471RR,disposeShelf,2017-12-19 01:04:18,20r
6494RR,disposeShelf,2017-12-19 01:28:18,81r
6505RR,disposeShelf,2017-12-19 01:38:18,26r
6515RR,disposeShelf,2017-12-19 01:48:18,40r
6528RR,disposeShelf,2017-12-19 02:07:18,17r
6562RR,disposeShelf,2017-12-19 02:44:18,74r
6574RR,disposeShelf,2017-12-19 02:54:18,24r
6575RR,disposeShelf,2017-12-19 02:56:18,76r
6603RR,disposeShelf,2017-12-19 03:26:18,43r
6608RR,disposeShelf,2017-12-19 03:30:18,63r
6623RR,disposeShelf,2017-12-19 03:41:18,87r
6652RR,disposeShelf,2017-12-19 04:19:18,92r
6683RR,disposeShelf,2017-12-19 05:00:18,80r
6687RR,disposeShelf,2017-12-19 05:04:18,21r
6706RR,disposeShelf,2017-12-19 05:33:18,0r
6734RR,disposeShelf,2017-12-19 06:08:18,60r
6743RR,disposeShelf,2017-12-19 06:15:18,77r
6768RR,disposeShelf,2017-12-19 06:50:18,96r
6794RR,disposeShelf,2017-12-19 07:15:18,43r
6812RR,disposeShelf,2017-12-19 07:30:18,49r
6829RR,disposeShelf,2017-12-19 07:47:18,39r
