Case Id,Event Id,Start Timestamp,End Timesstamp,Event name,Event type,Ressource Group,Ressource Id
212,1738,2017-08-24 02:48:12,2017-08-24 02:55:27,collect product from shelf,manual activity ,clerk,1
213,1751,2017-08-24 03:07:00,2017-08-24 03:12:20,Request product,process activity,clerk,1
888,1746,2017-08-24 02:59:43,2017-08-24 03:12:20,collect product from shelf,manual activity ,clerk,1
212,1755,2017-08-24 03:12:20,2017-08-24 03:22:28,move shelf from clerk dock,process activity,robot,2
70,1752,2017-08-24 03:07:00,2017-08-24 03:23:30,collect product from shelf,manual activity ,clerk,1
888,1764,2017-08-24 03:23:30,2017-08-24 03:25:01,move shelf from clerk dock,process activity,robot,0
1232,1766,2017-08-24 03:23:30,2017-08-24 03:25:01,Request product,process activity,clerk,1
212,1762,2017-08-24 03:22:28,2017-08-24 03:34:31,Package product,manual activity ,clerk,1
694,1765,2017-08-24 03:23:30,2017-08-24 03:34:31,putdown current shelf,process activity,robot,2
1178,1773,2017-08-24 03:34:31,2017-08-24 03:34:31,putdown current shelf,process activity,robot,0
415,1775,2017-08-24 03:34:31,2017-08-24 03:37:11,putdown current shelf,process activity,robot,1
815,1776,2017-08-24 03:34:31,2017-08-24 03:37:11,Request product,process activity,clerk,1
415,1781,2017-08-24 03:37:11,2017-08-24 03:38:25,go to approriate shelf,process activity,robot,1
70,1780,2017-08-24 03:37:11,2017-08-24 03:39:29,move shelf from clerk dock,process activity,robot,3
694,1774,2017-08-24 03:34:31,2017-08-24 03:41:23,go to approriate shelf,process activity,robot,2
888,1778,2017-08-24 03:36:01,2017-08-24 03:44:20,Package product,manual activity ,clerk,1
415,1785,2017-08-24 03:39:29,2017-08-24 03:47:19,move shelf to dock,process activity,robot,1
1178,1783,2017-08-24 03:38:25,2017-08-24 03:48:40,go to approriate shelf,process activity,robot,0
694,1789,2017-08-24 03:44:20,2017-08-24 03:49:40,move shelf to dock,process activity,robot,2
524,1788,2017-08-24 03:44:20,2017-08-24 03:50:56,Request product,process activity,clerk,1
979,1799,2017-08-24 03:53:41,2017-08-24 04:02:31,Request product,process activity,clerk,1
70,1797,2017-08-24 03:53:41,2017-08-24 04:02:31,Package product,manual activity ,clerk,1
1178,1803,2017-08-24 03:57:28,2017-08-24 04:05:53,move shelf to dock,process activity,robot,0
659,1809,2017-08-24 04:05:53,2017-08-24 04:11:33,Request product,process activity,clerk,1
694,1812,2017-08-24 04:08:49,2017-08-24 04:12:58,collect product from shelf,manual activity ,clerk,1
1178,1818,2017-08-24 04:14:42,2017-08-24 04:17:52,collect product from shelf,manual activity ,clerk,1
415,1815,2017-08-24 04:11:33,2017-08-24 04:27:27,collect product from shelf,manual activity ,clerk,1
629,1821,2017-08-24 04:17:52,2017-08-24 04:29:54,Request product,process activity,clerk,1
1178,1834,2017-08-24 04:36:34,2017-08-24 04:41:17,move shelf from clerk dock,process activity,robot,0
694,1836,2017-08-24 04:39:35,2017-08-24 04:41:17,move shelf from clerk dock,process activity,robot,2
415,1830,2017-08-24 04:31:01,2017-08-24 04:41:17,move shelf from clerk dock,process activity,robot,1
920,1844,2017-08-24 04:47:58,2017-08-24 04:49:36,Request product,process activity,clerk,1
95,1843,2017-08-24 04:47:58,2017-08-24 04:51:25,putdown current shelf,process activity,robot,2
37,1846,2017-08-24 04:51:25,2017-08-24 04:52:50,Request product,process activity,clerk,1
95,1847,2017-08-24 04:51:25,2017-08-24 04:54:15,go to approriate shelf,process activity,robot,2
820,1850,2017-08-24 04:56:13,2017-08-24 04:57:29,Request product,process activity,clerk,1
694,1842,2017-08-24 04:47:58,2017-08-24 04:59:12,Package product,manual activity ,clerk,1
226,1854,2017-08-24 04:59:12,2017-08-24 05:01:04,Request product,process activity,clerk,1
468,1857,2017-08-24 05:01:04,2017-08-24 05:02:05,putdown current shelf,process activity,robot,3
95,1852,2017-08-24 04:57:29,2017-08-24 05:02:05,move shelf to dock,process activity,robot,2
415,1856,2017-08-24 05:01:04,2017-08-24 05:06:58,do extra check,manual activity ,clerk,1
303,1863,2017-08-24 05:05:57,2017-08-24 05:06:58,Request product,process activity,clerk,1
468,1865,2017-08-24 05:06:58,2017-08-24 05:08:33,go to approriate shelf,process activity,robot,3
939,1870,2017-08-24 05:11:29,2017-08-24 05:13:14,Request product,process activity,clerk,1
95,1867,2017-08-24 05:06:58,2017-08-24 05:14:51,collect product from shelf,manual activity ,clerk,1
468,1872,2017-08-24 05:13:14,2017-08-24 05:20:27,move shelf to dock,process activity,robot,3
1168,1875,2017-08-24 05:15:58,2017-08-24 05:21:54,Request product,process activity,clerk,1
415,1866,2017-08-24 05:06:58,2017-08-24 05:21:54,Package product,manual activity ,clerk,1
309,1886,2017-08-24 05:31:23,2017-08-24 05:32:41,Request product,process activity,clerk,1
418,1887,2017-08-24 05:31:23,2017-08-24 05:32:41,putdown current shelf,process activity,robot,1
95,1889,2017-08-24 05:32:41,2017-08-24 05:34:20,move shelf from clerk dock,process activity,robot,2
1205,1893,2017-08-24 05:34:20,2017-08-24 05:36:55,Request product,process activity,clerk,1
418,1890,2017-08-24 05:32:41,2017-08-24 05:37:25,go to approriate shelf,process activity,robot,1
468,1885,2017-08-24 05:31:23,2017-08-24 05:40:11,collect product from shelf,manual activity ,clerk,1
537,1897,2017-08-24 05:40:11,2017-08-24 05:46:02,Request product,process activity,clerk,1
842,1899,2017-08-24 05:41:50,2017-08-24 05:52:15,putdown current shelf,process activity,robot,2
