Case Id,Start Timestamp,End Timesstamp,Event Name,Event Type,Subjec Group,Subject Id,Object Group,Object Id,Event Id
272RP,2017-12-29 05:25:13,2017-12-29 05:26:13,go to approriate shelf,process activity,robot,2r,shelf,10s,1965
64RP,2017-12-29 05:24:13,2017-12-29 05:30:13,putdown current shelf,process activity,robot,9r,shelf,7s,1964
64RP,2017-12-29 05:30:13,2017-12-29 05:42:13,go to approriate shelf,process activity,robot,9r,shelf,23s,1970
337RP,2017-12-29 05:35:13,2017-12-29 05:47:13,reduce speed,process activity,robot,4r,shelf,2s,1972
337RP,2017-12-29 05:21:13,2017-12-29 05:47:13,move shelf to dock,process activity,robot,4r,shelf,2s,1958
272RP,2017-12-29 05:38:13,2017-12-29 05:54:13,reduce speed,process activity,robot,2r,shelf,10s,1976
272RP,2017-12-29 05:28:13,2017-12-29 05:54:13,move shelf to dock,process activity,robot,2r,shelf,10s,1967
337RP,2017-12-29 05:52:13,2017-12-29 05:56:13,move shelf from dock,process activity,robot,4r,shelf,2s,1985
272RP,2017-12-29 06:02:13,2017-12-29 06:05:13,move shelf from dock,process activity,robot,2r,shelf,10s,1996
64RP,2017-12-29 06:00:13,2017-12-29 06:08:13,reduce speed,process activity,robot,9r,shelf,23s,1994
64RP,2017-12-29 05:44:13,2017-12-29 06:08:13,move shelf to dock,process activity,robot,9r,shelf,23s,1978
53RP,2017-12-29 06:08:13,2017-12-29 06:14:13,putdown current shelf,process activity,robot,1r,shelf,23s,2002
319RP,2017-12-29 06:21:13,2017-12-29 06:24:13,putdown current shelf,process activity,robot,8r,shelf,11s,2015
444RP,2017-12-29 06:23:13,2017-12-29 06:26:13,putdown current shelf,process activity,robot,0r,shelf,0s,2017
53RP,2017-12-29 06:14:13,2017-12-29 06:27:13,go to approriate shelf,process activity,robot,1r,shelf,11s,2009
64RP,2017-12-29 06:14:13,2017-12-29 06:28:13,move shelf from dock,process activity,robot,9r,shelf,23s,2008
53RP,2017-12-29 06:29:13,2017-12-29 06:32:13,move shelf to dock,process activity,robot,1r,shelf,11s,2023
444RP,2017-12-29 06:26:13,2017-12-29 06:46:13,go to approriate shelf,process activity,robot,0r,shelf,16s,2020
319RP,2017-12-29 06:24:13,2017-12-29 06:47:13,go to approriate shelf,process activity,robot,8r,shelf,14s,2018
53RP,2017-12-29 06:51:13,2017-12-29 06:58:13,move shelf from dock,process activity,robot,1r,shelf,11s,2034
127RP,2017-12-29 06:58:13,2017-12-29 07:01:13,putdown current shelf,process activity,robot,7r,shelf,13s,2043
127RP,2017-12-29 07:02:13,2017-12-29 07:15:13,go to approriate shelf,process activity,robot,7r,shelf,22s,2045
444RP,2017-12-29 07:01:13,2017-12-29 07:17:13,reduce speed,process activity,robot,0r,shelf,16s,2044
444RP,2017-12-29 06:51:13,2017-12-29 07:17:13,move shelf to dock,process activity,robot,0r,shelf,16s,2033
319RP,2017-12-29 07:06:13,2017-12-29 07:21:13,reduce speed,process activity,robot,8r,shelf,14s,2047
319RP,2017-12-29 06:51:13,2017-12-29 07:22:13,move shelf to dock,process activity,robot,8r,shelf,14s,2035
127RP,2017-12-29 07:17:13,2017-12-29 07:23:13,move shelf to dock,process activity,robot,7r,shelf,22s,2054
323RP,2017-12-29 07:15:13,2017-12-29 07:25:13,putdown current shelf,process activity,robot,5r,shelf,6s,2052
323RP,2017-12-29 07:25:13,2017-12-29 07:43:13,go to approriate shelf,process activity,robot,5r,shelf,23s,2061
266RP,2017-12-29 07:36:13,2017-12-29 07:48:13,putdown current shelf,process activity,robot,3r,shelf,1s,2067
21RP,2017-12-29 07:33:13,2017-12-29 07:54:13,putdown current shelf,process activity,robot,6r,shelf,24s,2064
323RP,2017-12-29 07:48:13,2017-12-29 08:05:13,move shelf to dock,process activity,robot,5r,shelf,23s,2072
266RP,2017-12-29 07:54:13,2017-12-29 08:11:13,go to approriate shelf,process activity,robot,3r,shelf,12s,2073
21RP,2017-12-29 07:56:13,2017-12-29 08:13:13,go to approriate shelf,process activity,robot,6r,shelf,19s,2074
444RP,2017-12-29 07:57:13,2017-12-29 08:15:13,move shelf from dock,process activity,robot,0r,shelf,16s,2075
21RP,2017-12-29 08:16:13,2017-12-29 08:32:13,move shelf to dock,process activity,robot,6r,shelf,19s,2085
