Case Id,Start Timestamp,End Timesstamp,Event Name,Event Type,Subjec Group,Subject Id,Object Group,Object Id,Event Id
157CP,2017-12-28 22:54:13,2017-12-28 22:54:13,check if the product was shaked,process activity,clerk,1c,product,157p,1714
157CP,2017-12-28 23:08:13,2017-12-28 23:08:13,Product Delivered,process activity,clerk,1c,product,157p,1731
153CP,2017-12-28 23:08:13,2017-12-28 23:08:13,check if the product was shaked,process activity,clerk,1c,product,153p,1732
201CP,2017-12-28 22:53:13,2017-12-28 23:13:13,Request product,process activity,clerk,1c,product,201p,1713
201CP,2017-12-28 23:13:13,2017-12-28 23:13:13,Assgin robot,process activity,robot,6r,shelf,24s,1737
138CP,2017-12-28 23:09:13,2017-12-28 23:13:13,Request product,process activity,clerk,1c,product,138p,1734
138CP,2017-12-28 23:14:13,2017-12-28 23:14:13,Assgin robot,process activity,robot,7r,shelf,20s,1738
153CP,2017-12-28 23:31:13,2017-12-28 23:31:13,Product Delivered,process activity,clerk,1c,product,153p,1748
6CP,2017-12-28 23:31:13,2017-12-28 23:31:13,check if the product was shaked,process activity,clerk,1c,product,6p,1749
494CP,2017-12-28 23:32:13,2017-12-28 23:40:13,Request product,process activity,clerk,1c,product,494p,1750
494CP,2017-12-28 23:41:13,2017-12-28 23:41:13,Assgin robot,process activity,robot,0r,shelf,22s,1760
6CP,2017-12-28 23:48:13,2017-12-28 23:48:13,Product Delivered,process activity,clerk,1c,product,6p,1770
357CP,2017-12-28 23:50:13,2017-12-28 23:50:13,check if the product was shaked,process activity,clerk,1c,product,357p,1775
18CP,2017-12-28 23:51:13,2017-12-29 00:05:13,Request product,process activity,clerk,1c,product,18p,1776
18CP,2017-12-29 00:06:13,2017-12-29 00:06:13,Assgin robot,process activity,robot,4r,shelf,1s,1783
357CP,2017-12-29 00:21:13,2017-12-29 00:21:13,Product Delivered,process activity,clerk,1c,product,357p,1787
431CP,2017-12-29 00:22:13,2017-12-29 00:22:13,check if the product was shaked,process activity,clerk,1c,product,431p,1789
345CP,2017-12-29 00:23:13,2017-12-29 00:40:13,Request product,process activity,clerk,1c,product,345p,1790
345CP,2017-12-29 00:40:13,2017-12-29 00:40:13,Assgin robot,process activity,robot,2r,shelf,15s,1800
431CP,2017-12-29 00:59:13,2017-12-29 00:59:13,Product Delivered,process activity,clerk,1c,product,431p,1803
104CP,2017-12-29 01:21:13,2017-12-29 01:21:13,check if the product was shaked,process activity,clerk,1c,product,104p,1808
78CP,2017-12-29 01:21:13,2017-12-29 01:31:13,Request product,process activity,clerk,1c,product,78p,1807
78CP,2017-12-29 01:37:13,2017-12-29 01:37:13,Assgin robot,process activity,robot,9r,shelf,7s,1816
104CP,2017-12-29 01:59:13,2017-12-29 01:59:13,Product Delivered,process activity,clerk,1c,product,104p,1817
204CP,2017-12-29 02:03:13,2017-12-29 02:03:13,check if the product was shaked,process activity,clerk,1c,product,204p,1819
141CP,2017-12-29 02:06:13,2017-12-29 02:14:13,Request product,process activity,clerk,1c,product,141p,1821
141CP,2017-12-29 02:14:13,2017-12-29 02:14:13,Assgin robot,process activity,robot,5r,shelf,6s,1825
204CP,2017-12-29 02:21:13,2017-12-29 02:21:13,Product Delivered,process activity,clerk,1c,product,204p,1831
99CP,2017-12-29 02:24:13,2017-12-29 02:24:13,check if the product was shaked,process activity,clerk,1c,product,99p,1835
133CP,2017-12-29 02:26:13,2017-12-29 02:46:13,Request product,process activity,clerk,1c,product,133p,1837
133CP,2017-12-29 02:47:13,2017-12-29 02:47:13,Assgin robot,process activity,robot,1r,shelf,23s,1851
99CP,2017-12-29 02:50:13,2017-12-29 02:50:13,Product Delivered,process activity,clerk,1c,product,99p,1855
138CP,2017-12-29 02:51:13,2017-12-29 02:51:13,check if the product was shaked,process activity,clerk,1c,product,138p,1857
422CP,2017-12-29 02:51:13,2017-12-29 03:02:13,Request product,process activity,clerk,1c,product,422p,1856
422CP,2017-12-29 03:02:13,2017-12-29 03:02:13,Assgin robot,process activity,robot,8r,shelf,11s,1861
138CP,2017-12-29 03:17:13,2017-12-29 03:17:13,Product Delivered,process activity,clerk,1c,product,138p,1869
195CP,2017-12-29 03:18:13,2017-12-29 03:18:13,check if the product was shaked,process activity,clerk,1c,product,195p,1870
195CP,2017-12-29 03:33:13,2017-12-29 03:33:13,Product Delivered,process activity,clerk,1c,product,195p,1877
201CP,2017-12-29 03:34:13,2017-12-29 03:34:13,check if the product was shaked,process activity,clerk,1c,product,201p,1879
59CP,2017-12-29 03:18:13,2017-12-29 03:38:13,Request product,process activity,clerk,1c,product,59p,1871
59CP,2017-12-29 03:39:13,2017-12-29 03:39:13,Assgin robot,process activity,robot,7r,shelf,13s,1883
245CP,2017-12-29 03:34:13,2017-12-29 03:41:13,Request product,process activity,clerk,1c,product,245p,1880
245CP,2017-12-29 03:42:13,2017-12-29 03:42:13,Assgin robot,process activity,robot,3r,shelf,1s,1887
201CP,2017-12-29 03:52:13,2017-12-29 03:52:13,Product Delivered,process activity,clerk,1c,product,201p,1894
494CP,2017-12-29 03:55:13,2017-12-29 03:55:13,check if the product was shaked,process activity,clerk,1c,product,494p,1896
281CP,2017-12-29 03:54:13,2017-12-29 04:14:13,Request product,process activity,clerk,1c,product,281p,1895
281CP,2017-12-29 04:14:13,2017-12-29 04:14:13,Assgin robot,process activity,robot,6r,shelf,24s,1905
494CP,2017-12-29 04:22:13,2017-12-29 04:22:13,Product Delivered,process activity,clerk,1c,product,494p,1910
18CP,2017-12-29 04:23:13,2017-12-29 04:23:13,check if the product was shaked,process activity,clerk,1c,product,18p,1912
211CP,2017-12-29 04:22:13,2017-12-29 04:40:13,Request product,process activity,clerk,1c,product,211p,1911
211CP,2017-12-29 04:41:13,2017-12-29 04:41:13,Assgin robot,process activity,robot,0r,shelf,0s,1930
18CP,2017-12-29 04:52:13,2017-12-29 04:52:13,Product Delivered,process activity,clerk,1c,product,18p,1937
345CP,2017-12-29 04:53:13,2017-12-29 04:53:13,check if the product was shaked,process activity,clerk,1c,product,345p,1939
337CP,2017-12-29 04:53:13,2017-12-29 04:59:13,Request product,process activity,clerk,1c,product,337p,1938
337CP,2017-12-29 05:00:13,2017-12-29 05:00:13,Assgin robot,process activity,robot,4r,shelf,2s,1942
345CP,2017-12-29 05:06:13,2017-12-29 05:06:13,Product Delivered,process activity,clerk,1c,product,345p,1947
78CP,2017-12-29 05:09:13,2017-12-29 05:09:13,check if the product was shaked,process activity,clerk,1c,product,78p,1951
272CP,2017-12-29 05:08:13,2017-12-29 05:18:13,Request product,process activity,clerk,1c,product,272p,1949
272CP,2017-12-29 05:18:13,2017-12-29 05:18:13,Assgin robot,process activity,robot,2r,shelf,10s,1954
78CP,2017-12-29 05:21:13,2017-12-29 05:21:13,Product Delivered,process activity,clerk,1c,product,78p,1957
141CP,2017-12-29 05:22:13,2017-12-29 05:22:13,check if the product was shaked,process activity,clerk,1c,product,141p,1959
64CP,2017-12-29 05:22:13,2017-12-29 05:23:13,Request product,process activity,clerk,1c,product,64p,1960
64CP,2017-12-29 05:24:13,2017-12-29 05:24:13,Assgin robot,process activity,robot,9r,shelf,23s,1963
141CP,2017-12-29 05:35:13,2017-12-29 05:35:13,Product Delivered,process activity,clerk,1c,product,141p,1971
133CP,2017-12-29 05:36:13,2017-12-29 05:36:13,check if the product was shaked,process activity,clerk,1c,product,133p,1974
133CP,2017-12-29 05:52:13,2017-12-29 05:52:13,Product Delivered,process activity,clerk,1c,product,133p,1984
422CP,2017-12-29 05:53:13,2017-12-29 05:53:13,check if the product was shaked,process activity,clerk,1c,product,422p,1987
323CP,2017-12-29 05:36:13,2017-12-29 05:58:13,Request product,process activity,clerk,1c,product,323p,1973
323CP,2017-12-29 05:59:13,2017-12-29 05:59:13,Assgin robot,process activity,robot,5r,shelf,23s,1993
422CP,2017-12-29 06:03:13,2017-12-29 06:03:13,Product Delivered,process activity,clerk,1c,product,422p,1997
211CP,2017-12-29 06:04:13,2017-12-29 06:04:13,check if the product was shaked,process activity,clerk,1c,product,211p,1999
53CP,2017-12-29 05:53:13,2017-12-29 06:07:13,Request product,process activity,clerk,1c,product,53p,1986
53CP,2017-12-29 06:08:13,2017-12-29 06:08:13,Assgin robot,process activity,robot,1r,shelf,11s,2001
211CP,2017-12-29 06:18:13,2017-12-29 06:18:13,Product Delivered,process activity,clerk,1c,product,211p,2010
59CP,2017-12-29 06:19:13,2017-12-29 06:19:13,check if the product was shaked,process activity,clerk,1c,product,59p,2012
319CP,2017-12-29 06:04:13,2017-12-29 06:20:13,Request product,process activity,clerk,1c,product,319p,1998
319CP,2017-12-29 06:20:13,2017-12-29 06:20:13,Assgin robot,process activity,robot,8r,shelf,14s,2014
444CP,2017-12-29 06:19:13,2017-12-29 06:22:13,Request product,process activity,clerk,1c,product,444p,2011
444CP,2017-12-29 06:22:13,2017-12-29 06:22:13,Assgin robot,process activity,robot,0r,shelf,16s,2016
59CP,2017-12-29 06:29:13,2017-12-29 06:29:13,Product Delivered,process activity,clerk,1c,product,59p,2022
245CP,2017-12-29 06:30:13,2017-12-29 06:30:13,check if the product was shaked,process activity,clerk,1c,product,245p,2025
245CP,2017-12-29 06:54:13,2017-12-29 06:54:13,Product Delivered,process activity,clerk,1c,product,245p,2037
127CP,2017-12-29 06:30:13,2017-12-29 06:55:13,Request product,process activity,clerk,1c,product,127p,2024
127CP,2017-12-29 06:56:13,2017-12-29 06:56:13,Assgin robot,process activity,robot,7r,shelf,22s,2038
281CP,2017-12-29 06:57:13,2017-12-29 06:57:13,check if the product was shaked,process activity,clerk,1c,product,281p,2039
281CP,2017-12-29 07:10:13,2017-12-29 07:10:13,Product Delivered,process activity,clerk,1c,product,281p,2048
337CP,2017-12-29 07:12:13,2017-12-29 07:12:13,check if the product was shaked,process activity,clerk,1c,product,337p,2050
266CP,2017-12-29 06:58:13,2017-12-29 07:20:13,Request product,process activity,clerk,1c,product,266p,2041
21CP,2017-12-29 07:12:13,2017-12-29 07:26:13,Request product,process activity,clerk,1c,product,21p,2049
21CP,2017-12-29 07:31:13,2017-12-29 07:31:13,Assgin robot,process activity,robot,6r,shelf,19s,2063
266CP,2017-12-29 07:34:13,2017-12-29 07:34:13,Assgin robot,process activity,robot,3r,shelf,12s,2065
337CP,2017-12-29 08:32:13,2017-12-29 08:32:13,Product Delivered,process activity,clerk,1c,product,337p,2087
272CP,2017-12-29 08:36:13,2017-12-29 08:36:13,check if the product was shaked,process activity,clerk,1c,product,272p,2092
1CP,2017-12-29 08:36:13,2017-12-29 08:39:13,Request product,process activity,clerk,1c,product,1p,2093
1CP,2017-12-29 08:39:13,2017-12-29 08:39:13,Assgin robot,process activity,robot,4r,shelf,15s,2097
272CP,2017-12-29 08:46:13,2017-12-29 08:46:13,Product Delivered,process activity,clerk,1c,product,272p,2107
64CP,2017-12-29 08:47:13,2017-12-29 08:48:13,check if the product was shaked,process activity,clerk,1c,product,64p,2109
64CP,2017-12-29 09:09:13,2017-12-29 09:09:13,Product Delivered,process activity,clerk,1c,product,64p,2116
486CP,2017-12-29 08:47:13,2017-12-29 09:10:13,Request product,process activity,clerk,1c,product,486p,2108
53CP,2017-12-29 09:11:13,2017-12-29 09:11:13,check if the product was shaked,process activity,clerk,1c,product,53p,2117
486CP,2017-12-29 09:13:13,2017-12-29 09:13:13,Assgin robot,process activity,robot,2r,shelf,0s,2120
53CP,2017-12-29 09:27:13,2017-12-29 09:27:13,Product Delivered,process activity,clerk,1c,product,53p,2129
444CP,2017-12-29 09:29:13,2017-12-29 09:29:13,check if the product was shaked,process activity,clerk,1c,product,444p,2132
97CP,2017-12-29 09:12:13,2017-12-29 09:31:13,Request product,process activity,clerk,1c,product,97p,2119
97CP,2017-12-29 09:32:13,2017-12-29 09:32:13,Assgin robot,process activity,robot,9r,shelf,2s,2135
444CP,2017-12-29 09:39:13,2017-12-29 09:39:13,Product Delivered,process activity,clerk,1c,product,444p,2138
319CP,2017-12-29 09:39:13,2017-12-29 09:39:13,check if the product was shaked,process activity,clerk,1c,product,319p,2139
54CP,2017-12-29 09:30:13,2017-12-29 09:47:13,Request product,process activity,clerk,1c,product,54p,2133
54CP,2017-12-29 09:49:13,2017-12-29 09:49:13,Assgin robot,process activity,robot,1r,shelf,3s,2148
411CP,2017-12-29 09:40:13,2017-12-29 09:52:13,Request product,process activity,clerk,1c,product,411p,2141
411CP,2017-12-29 09:52:13,2017-12-29 09:52:13,Assgin robot,process activity,robot,0r,shelf,14s,2152
319CP,2017-12-29 10:06:13,2017-12-29 10:06:13,Product Delivered,process activity,clerk,1c,product,319p,2159
127CP,2017-12-29 10:08:13,2017-12-29 10:08:13,check if the product was shaked,process activity,clerk,1c,product,127p,2162
127CP,2017-12-29 10:23:13,2017-12-29 10:23:13,Product Delivered,process activity,clerk,1c,product,127p,2171
323CP,2017-12-29 10:25:13,2017-12-29 10:25:13,check if the product was shaked,process activity,clerk,1c,product,323p,2173
49CP,2017-12-29 10:07:13,2017-12-29 10:25:13,Request product,process activity,clerk,1c,product,49p,2161
49CP,2017-12-29 10:26:13,2017-12-29 10:26:13,Assgin robot,process activity,robot,8r,shelf,0s,2175
35CP,2017-12-29 10:25:13,2017-12-29 10:43:13,Request product,process activity,clerk,1c,product,35p,2174
35CP,2017-12-29 10:43:13,2017-12-29 10:43:13,Assgin robot,process activity,robot,7r,shelf,0s,2190
323CP,2017-12-29 10:45:13,2017-12-29 10:45:13,Product Delivered,process activity,clerk,1c,product,323p,2191
266CP,2017-12-29 10:46:13,2017-12-29 10:46:13,check if the product was shaked,process activity,clerk,1c,product,266p,2192
263CP,2017-12-29 10:46:13,2017-12-29 10:57:13,Request product,process activity,clerk,1c,product,263p,2193
263CP,2017-12-29 10:57:13,2017-12-29 10:57:13,Assgin robot,process activity,robot,5r,shelf,6s,2198
266CP,2017-12-29 11:05:13,2017-12-29 11:05:13,Product Delivered,process activity,clerk,1c,product,266p,2202
21CP,2017-12-29 11:06:13,2017-12-29 11:06:13,check if the product was shaked,process activity,clerk,1c,product,21p,2205
30CP,2017-12-29 11:06:13,2017-12-29 11:20:13,Request product,process activity,clerk,1c,product,30p,2204
30CP,2017-12-29 11:21:13,2017-12-29 11:21:13,Assgin robot,process activity,robot,3r,shelf,16s,2213
21CP,2017-12-29 11:27:13,2017-12-29 11:27:13,Product Delivered,process activity,clerk,1c,product,21p,2217
1CP,2017-12-29 11:28:13,2017-12-29 11:28:13,check if the product was shaked,process activity,clerk,1c,product,1p,2218
132CP,2017-12-29 11:29:13,2017-12-29 11:51:13,Request product,process activity,clerk,1c,product,132p,2220
132CP,2017-12-29 11:52:13,2017-12-29 11:52:13,Assgin robot,process activity,robot,6r,shelf,7s,2235
1CP,2017-12-29 11:54:13,2017-12-29 11:54:13,Product Delivered,process activity,clerk,1c,product,1p,2237
486CP,2017-12-29 11:55:13,2017-12-29 11:55:13,check if the product was shaked,process activity,clerk,1c,product,486p,2240
278CP,2017-12-29 11:55:13,2017-12-29 12:00:13,Request product,process activity,clerk,1c,product,278p,2239
278CP,2017-12-29 12:00:13,2017-12-29 12:00:13,Assgin robot,process activity,robot,4r,shelf,10s,2243
